file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,f5afe43d,andrewyounucsd,2026-04-03,15:55:56,-07:00,2026-04-03T15:55:56-07:00,0,4
style.css,2,css,f5afe43d,andrewyounucsd,2026-04-03,15:55:56,-07:00,2026-04-03T15:55:56-07:00,1,43
style.css,3,css,f5afe43d,andrewyounucsd,2026-04-03,15:55:56,-07:00,2026-04-03T15:55:56-07:00,0,42
style.css,4,css,f5afe43d,andrewyounucsd,2026-04-03,15:55:56,-07:00,2026-04-03T15:55:56-07:00,0,0
style.css,5,css,f5afe43d,andrewyounucsd,2026-04-03,15:55:56,-07:00,2026-04-03T15:55:56-07:00,1,23
style.css,6,css,c8b43d9d,andrewyounucsd,2026-04-10,00:33:57,-07:00,2026-04-10T00:33:57-07:00,1,15
style.css,7,css,c8b43d9d,andrewyounucsd,2026-04-10,00:33:57,-07:00,2026-04-10T00:33:57-07:00,1,42
style.css,8,css,2cd4837d,andrewyounucsd,2026-04-10,00:41:39,-07:00,2026-04-10T00:41:39-07:00,0,0
style.css,9,css,2cd4837d,andrewyounucsd,2026-04-10,00:41:39,-07:00,2026-04-10T00:41:39-07:00,0,0
style.css,10,css,2cd4837d,andrewyounucsd,2026-04-10,00:41:39,-07:00,2026-04-10T00:41:39-07:00,0,3
style.css,11,css,b9b470ca,andrewyounucsd,2026-04-16,17:50:34,-07:00,2026-04-16T17:50:34-07:00,2,39
style.css,12,css,2cd4837d,andrewyounucsd,2026-04-10,00:41:39,-07:00,2026-04-10T00:41:39-07:00,2,12
style.css,13,css,2cd4837d,andrewyounucsd,2026-04-10,00:41:39,-07:00,2026-04-10T00:41:39-07:00,2,17
style.css,14,css,ea17e4f3,andrewyounucsd,2026-04-16,17:55:35,-07:00,2026-04-16T17:55:35-07:00,2,43
style.css,15,css,2cd4837d,andrewyounucsd,2026-04-10,00:41:39,-07:00,2026-04-10T00:41:39-07:00,0,0
style.css,16,css,2cd4837d,andrewyounucsd,2026-04-10,00:41:39,-07:00,2026-04-10T00:41:39-07:00,0,0
style.css,17,css,2cd4837d,andrewyounucsd,2026-04-10,00:41:39,-07:00,2026-04-10T00:41:39-07:00,0,5
style.css,18,css,2cd4837d,andrewyounucsd,2026-04-10,00:41:39,-07:00,2026-04-10T00:41:39-07:00,2,6
style.css,19,css,2cd4837d,andrewyounucsd,2026-04-10,00:41:39,-07:00,2026-04-10T00:41:39-07:00,2,20
style.css,20,css,2cd4837d,andrewyounucsd,2026-04-10,00:41:39,-07:00,2026-04-10T00:41:39-07:00,2,13
style.css,21,css,2cd4837d,andrewyounucsd,2026-04-10,00:41:39,-07:00,2026-04-10T00:41:39-07:00,2,17
style.css,22,css,2cd4837d,andrewyounucsd,2026-04-10,00:41:39,-07:00,2026-04-10T00:41:39-07:00,2,13
style.css,23,css,2cd4837d,andrewyounucsd,2026-04-10,00:41:39,-07:00,2026-04-10T00:41:39-07:00,0,0
style.css,24,css,2cd4837d,andrewyounucsd,2026-04-10,00:41:39,-07:00,2026-04-10T00:41:39-07:00,0,0
style.css,25,css,2cd4837d,andrewyounucsd,2026-04-10,00:41:39,-07:00,2026-04-10T00:41:39-07:00,0,13
style.css,26,css,ea17e4f3,andrewyounucsd,2026-04-16,17:55:35,-07:00,2026-04-16T17:55:35-07:00,2,45
style.css,27,css,2cd4837d,andrewyounucsd,2026-04-10,00:41:39,-07:00,2026-04-10T00:41:39-07:00,2,20
style.css,28,css,8a6a7ca5,andrewyounucsd,2026-04-10,01:03:27,-07:00,2026-04-10T01:03:27-07:00,0,0
style.css,29,css,8a6a7ca5,andrewyounucsd,2026-04-10,01:03:27,-07:00,2026-04-10T01:03:27-07:00,0,0
style.css,30,css,8a6a7ca5,andrewyounucsd,2026-04-10,01:03:27,-07:00,2026-04-10T01:03:27-07:00,0,4
style.css,31,css,8a6a7ca5,andrewyounucsd,2026-04-10,01:03:27,-07:00,2026-04-10T01:03:27-07:00,2,33
style.css,32,css,8a6a7ca5,andrewyounucsd,2026-04-10,01:03:27,-07:00,2026-04-10T01:03:27-07:00,2,32
style.css,33,css,b9b470ca,andrewyounucsd,2026-04-16,17:50:34,-07:00,2026-04-16T17:50:34-07:00,2,23
style.css,34,css,8a6a7ca5,andrewyounucsd,2026-04-10,01:03:27,-07:00,2026-04-10T01:03:27-07:00,0,0
style.css,35,css,8a6a7ca5,andrewyounucsd,2026-04-10,01:03:27,-07:00,2026-04-10T01:03:27-07:00,0,0
style.css,36,css,8a6a7ca5,andrewyounucsd,2026-04-10,01:03:27,-07:00,2026-04-10T01:03:27-07:00,0,11
style.css,37,css,8a6a7ca5,andrewyounucsd,2026-04-10,01:03:27,-07:00,2026-04-10T01:03:27-07:00,2,45
style.css,38,css,8a6a7ca5,andrewyounucsd,2026-04-10,01:03:27,-07:00,2026-04-10T01:03:27-07:00,2,20
style.css,39,css,b9b470ca,andrewyounucsd,2026-04-16,17:50:34,-07:00,2026-04-16T17:50:34-07:00,2,69
style.css,40,css,9dfe48a4,andrewyounucsd,2026-04-10,01:09:40,-07:00,2026-04-10T01:09:40-07:00,0,0
style.css,41,css,9dfe48a4,andrewyounucsd,2026-04-10,01:09:40,-07:00,2026-04-10T01:09:40-07:00,0,0
style.css,42,css,9dfe48a4,andrewyounucsd,2026-04-10,01:09:40,-07:00,2026-04-10T01:09:40-07:00,0,23
style.css,43,css,9dfe48a4,andrewyounucsd,2026-04-10,01:09:40,-07:00,2026-04-10T01:09:40-07:00,2,12
style.css,44,css,2cdb2ff9,andrewyounucsd,2026-04-10,01:17:51,-07:00,2026-04-10T01:17:51-07:00,0,0
